,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
CAI,1.0,-0.5723013212605638,-0.38771426554144245,-0.3212169246187037,0.003920073457637407,-0.4184726523900979,-0.1440522366617612,-0.6813216927891159,-0.5417413593336902,-0.39683840834852363,0.006135203751409271,-0.559475314300625
dS,-0.5723013212605638,1.0,0.47483161248248945,0.24711309432145848,0.8177936479926295,0.3476165165553053,0.1415117589203431,0.9438932484038212,0.5656367822805923,0.3298569351255599,0.8118556358978712,0.4673279524965288
dN,-0.38771426554144245,0.47483161248248945,1.0,0.9470069247515505,0.30692778252908004,0.9725007684618561,0.21183177663130784,0.4175946217780384,0.8514893205901274,0.8297773578795361,0.29484656249616026,0.8469567952662231
dN/dS,-0.3212169246187037,0.24711309432145848,0.9470069247515505,1.0,0.07590735718408646,0.9877338125708831,0.20980755276308866,0.2138191579178244,0.8252447400659901,0.8700993388946004,0.06234262026854811,0.8532032488740497
dS adjusted,0.003920073457637407,0.8177936479926295,0.30692778252908004,0.07590735718408646,1.0,0.13021040850268997,0.07146856556340585,0.6728637594037319,0.3095617766377851,0.12373661368071621,0.9943135841441514,0.1772344324268581
dN/dS adjusted,-0.4184726523900979,0.3476165165553053,0.9725007684618561,0.9877338125708831,0.13021040850268997,1.0,0.21602319856999735,0.32276107601936105,0.8472622791162573,0.8577873771857911,0.11800995792840199,0.8682772072538716
fitness,-0.1440522366617612,0.1415117589203431,0.21183177663130784,0.20980755276308866,0.07146856556340585,0.21602319856999735,1.0,0.14742893428364254,0.26514777365728853,0.2539795025058398,0.07072839331069179,0.2640212894926862
fdS,-0.6813216927891159,0.9438932484038212,0.4175946217780384,0.2138191579178244,0.6728637594037319,0.32276107601936105,0.14742893428364254,1.0,0.5563451625424283,0.30551254652479853,0.6790914805586885,0.47472426531175155
fdN,-0.5417413593336902,0.5656367822805923,0.8514893205901274,0.8252447400659901,0.3095617766377851,0.8472622791162573,0.26514777365728853,0.5563451625424283,1.0,0.9599633381557099,0.30653547444185164,0.9900099226400595
fdNdS,-0.39683840834852363,0.3298569351255599,0.8297773578795361,0.8700993388946004,0.12373661368071621,0.8577873771857911,0.2539795025058398,0.30551254652479853,0.9599633381557099,1.0,0.11823248733453232,0.9754556814604695
fdSadj,0.006135203751409271,0.8118556358978712,0.29484656249616026,0.06234262026854811,0.9943135841441514,0.11800995792840199,0.07072839331069179,0.6790914805586885,0.30653547444185164,0.11823248733453232,1.0,0.17319988122199625
fdNdSadj,-0.559475314300625,0.4673279524965288,0.8469567952662231,0.8532032488740497,0.1772344324268581,0.8682772072538716,0.2640212894926862,0.47472426531175155,0.9900099226400595,0.9754556814604695,0.17319988122199625,1.0
